"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5182705,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-27 01:00",-87.618431,41.672614,"residence","residence","170315306002009",,
5182798,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-27 07:30",-87.649575,41.777072,"residence","residence","170316810004024",,
5182854,"Chicago","12A","personal robbery","robbery","property","2018-06-27 09:40",-87.622228,41.722697,"street","street","170314903002025",,
5183026,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-27 14:10",-87.544734,41.651152,"residence","residence","170315501003007",,
5183079,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-27 15:04",-87.687822,41.7865,"street","street","170318351003017",,
5183145,"Chicago","12A","personal robbery","robbery","property","2018-06-27 16:15",-87.629795,41.766428,"street","street","170316903002018",,
5183179,"Chicago","13B","simple assault","assault offenses","persons","2018-06-27 17:00",-87.6046,41.727304,"street","street","170314409002009",,
5183244,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-27 18:00",-87.668416,41.80083,"street","street","170316118001005",,
5183272,"Chicago","12A","personal robbery","robbery","property","2018-06-27 18:44",-87.66585,41.749738,"street","street","170317105002003",,
5183340,"Chicago","13B","simple assault","assault offenses","persons","2018-06-27 20:06",-87.623292,41.841825,"residence","residence","170318392002013",,
5183399,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-27 21:25",-87.715189,41.858301,"residence","residence","170312922002001",,
5183420,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-27 22:00",-87.744699,41.777796,"residence","residence","170316407001007",,
5183460,"Chicago","13B","simple assault","assault offenses","persons","2018-06-27 23:00",-87.737037,41.897922,"residence","residence","170318421002001",,
5183559,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-28 02:10",-87.682335,41.801132,"street","street","170316301001011",,
5183599,"Chicago","13B","simple assault","assault offenses","persons","2018-06-28 04:20",-87.680212,41.871419,"green space","open space","170318382001008",,
5183670,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-28 09:00",-87.619352,41.703521,"residence","residence","170314909022049",,
5183716,"Chicago","13B","simple assault","assault offenses","persons","2018-06-28 10:30",-87.70746,41.754122,"street","street","170317001001011",,
5184007,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-28 17:15",-87.590326,41.760551,"street","street","170314304004005",,
5184090,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-28 19:20",-87.660624,41.735371,"bus","transportation","170317114001003",,
5184113,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-28 20:00",-87.623095,41.692183,"street","street","170314913001000",,
5184115,"Chicago","90J","trespass of real property","trespass of real property","society","2018-06-28 20:00",-87.761498,41.898533,"residence","residence","170312512003002",,
5184117,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-28 20:00",-87.727183,41.805277,"residence","residence","170315703001013",,
5184258,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-28 23:00",-87.642028,41.722601,"finance","commercial","170317301002010",,
5184395,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-29 05:49",-87.639788,41.729567,"street","street","170317115002034",,
5184400,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-29 06:00",-87.632941,41.677913,"residence","residence","170315302003025",,
5185314,"Chicago","12A","personal robbery","robbery","property","2018-06-30 09:15",-87.608866,41.773087,"street","street","170314212001004",,
5185329,"Chicago","23C","shoplifting","larceny/theft offenses","property","2018-06-30 09:45",-87.687784,41.895732,"other retail","retail","170312425002017",,
